GEOID,community
17043841204,Glendale Heights
17043843500,NA
17043844902,Downers Grove
17043841112,Bloomingdale
17043846408,NA
17043846206,NA
17043840104,Wood Dale
17043845200,Hinsdale
17043840706,Elmhurst
17043846603,NA
17043841504,West Chicago
17043844901,Downers Grove
17043842800,Elmhurst
17043841901,Glen Ellyn
17043840910,Glendale Heights
17043840908,Glendale Heights
17043845802,Darien
17043843800,Villa Park
17043841902,Glen Ellyn
17043846315,Woodridge
17043846308,Woodridge
17043841323,Carol Stream
17043843302,Villa Park
17043842702,NA
17043846310,Woodridge
17043841313,West Chicago
17043846509,NA
17043841607,Warrenville
17043845805,Darien
17043845808,Woodridge
17043846522,NA
17043841315,Hanover Park
17043842200,Glen Ellyn
17043840802,Chicago
17043841503,West Chicago
17043845506,Westmont
17043843601,Villa Park
17043845402,Willowbrook
17043846507,NA
17043846515,NA
17043846207,NA
17043845300,Hinsdale
17043841705,Glen Ellyn
17043842703,NA
17043842400,Glen Ellyn
17043841325,Carol Stream
17043841605,West Chicago
17043843301,Villa Park
17043845810,Darien
17043842604,Winfield
17043842605,NA
17043840202,Itasca
17043841324,Carol Stream
17043841606,Warrenville
17043842601,Lisle
17043843000,Elmhurst
17043846314,Woodridge
17043846523,NA
17043841802,Winfield
17043841205,Carol Stream
17043846304,Woodridge
17043841102,Hanover Park
17043844401,Downers Grove
17043841209,Carol Stream
17043841312,West Chicago
17043846701,Elmhurst
17043840000,Chicago
17043845807,Darien
17043846305,Woodridge
17043841604,Warrenville
17043842500,NA
17043843602,NA
17043840801,Chicago
17043846103,Lisle
17043846702,Villa Park
17043844202,NA
17043841704,Carol Stream
17043841322,Hanover Park
17043844701,Westmont
17043845507,Darien
17043842710,Glen Ellyn
17043842704,Glen Ellyn
17043845509,Westmont
17043844305,Downers Grove
17043846409,NA
17043844306,Oakbrook Terrace
17043840901,Itasca
17043840904,Glendale Heights
17043841310,Wayne
17043840600,Elmhurst
17043842706,Downers Grove
17043841403,Winfield
17043846405,Warrenville
17043841401,West Chicago
17043843700,Villa Park
17043845811,Darien
17043844304,Glen Ellyn
17043842100,Glen Ellyn
17043842300,Glen Ellyn
