B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B01003_001E,B19001_001E,B25010_001E,state,county,tract,block group,GEOID
28,20,87,63,11,31,0,0,9,5,1,6,0,4,12,4,1008,281,3.42,17,031,691500,2,170316915002
24,27,5,54,14,12,25,0,0,0,46,6,0,0,0,30,643,243,2.65,17,031,691500,3,170316915003
232,63,51,0,19,12,30,6,11,4,34,11,14,15,0,0,1406,502,2.8,17,031,710100,1,170317101001
0,27,0,0,10,14,0,14,0,91,20,32,0,10,37,0,598,255,2.35,17,031,805402,5,170318054025
27,0,26,25,33,54,25,19,13,30,22,55,52,0,0,0,855,381,2.24,17,031,805402,1,170318054021
39,46,37,13,0,25,32,54,36,66,57,18,109,9,31,6,1701,578,2.94,17,031,805402,4,170318054024
12,0,0,18,23,0,46,0,14,23,12,108,23,55,12,0,904,346,2.61,17,031,805402,2,170318054022
13,26,0,0,0,11,31,13,10,0,0,27,91,39,14,0,732,275,2.66,17,031,805402,3,170318054023
0,10,0,8,0,18,26,9,19,0,17,42,37,7,8,8,582,209,2.78,17,031,806300,3,170318063003
18,0,0,9,10,18,27,9,8,8,47,70,59,27,27,23,776,360,2.16,17,031,806300,5,170318063005
0,0,0,15,0,9,8,8,0,11,42,48,17,10,41,45,900,254,3.54,17,031,806300,6,170318063006
0,8,0,10,16,0,16,9,9,37,8,39,33,46,16,0,598,247,2.42,17,031,806300,4,170318063004
6,16,29,0,16,0,29,29,8,52,35,18,25,19,0,33,1023,315,3.25,17,031,806300,1,170318063001
8,0,0,15,25,0,0,0,6,2,9,100,52,93,66,134,1695,510,3.32,17,031,807100,3,170318071003
16,6,0,10,8,30,28,8,41,18,17,82,78,41,24,54,1272,461,2.76,17,031,807100,2,170318071002
54,28,33,30,14,66,18,31,11,42,66,102,44,21,23,10,1737,593,2.93,17,031,808200,3,170318082003
16,16,76,8,19,14,24,47,49,36,119,137,104,96,45,23,2224,829,2.68,17,031,808200,1,170318082001
115,97,20,41,27,20,0,16,43,24,41,44,0,0,12,0,1021,500,2.04,17,031,420500,1,170314205001
85,30,8,36,25,0,0,22,9,18,62,8,0,0,9,0,926,312,2.97,17,031,430400,3,170314304003
109,0,52,39,0,0,0,25,0,0,62,24,0,33,0,0,1124,344,3.11,17,031,430400,4,170314304004
33,62,74,88,13,43,69,25,23,43,108,90,45,31,51,16,2169,814,2.61,17,031,823102,1,170318231021
0,0,0,0,14,8,19,20,7,8,105,82,27,37,31,0,1087,358,3.04,17,031,822101,4,170318221014
18,27,0,0,23,36,0,15,0,73,35,107,37,9,10,22,1199,412,2.91,17,031,822101,2,170318221012
8,24,66,15,23,22,13,7,36,66,56,63,56,17,13,0,1553,485,3.2,17,031,823102,2,170318231022
0,0,13,40,88,0,36,0,0,81,6,31,26,15,0,0,1236,336,3.68,17,031,823304,5,170318233045
27,0,40,14,14,47,0,23,12,18,53,39,17,20,41,0,1318,365,3.61,17,031,823304,6,170318233046
44,42,45,55,25,32,19,29,51,34,5,18,0,0,0,0,620,399,1.55,17,031,823304,3,170318233043
13,29,26,15,46,15,62,120,13,30,73,36,44,0,0,0,1428,522,2.74,17,031,823304,4,170318233044
104,0,33,72,13,0,125,16,0,67,27,0,0,16,0,0,1910,473,4.04,17,031,824800,3,170318248003
