B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_001E,state,county,tract,block group,GEOID
100.0,57.0,45.0,52.0,9.0,5.0,12.0,10.0,8.0,30.0,21.0,19.0,22.0,21.0,8.0,14.0,433.0,17,031,010100,1,170310101001
279.0,163.0,91.0,203.0,42.0,69.0,53.0,69.0,44.0,34.0,100.0,81.0,134.0,32.0,63.0,36.0,1493.0,17,031,010100,2,170310101002
131.0,87.0,89.0,70.0,147.0,274.0,43.0,71.0,47.0,125.0,269.0,291.0,270.0,74.0,72.0,58.0,2118.0,17,031,010100,3,170310101003
116.0,127.0,153.0,104.0,44.0,24.0,92.0,99.0,76.0,49.0,168.0,147.0,125.0,96.0,80.0,103.0,1603.0,17,031,010201,1,170310102011
348.0,265.0,190.0,415.0,197.0,270.0,323.0,274.0,175.0,411.0,412.0,467.0,256.0,97.0,192.0,196.0,4488.0,17,031,010201,2,170310102012
93.0,41.0,50.0,56.0,8.0,14.0,11.0,45.0,7.0,50.0,94.0,148.0,44.0,24.0,47.0,55.0,787.0,17,031,010201,3,170310102013
149.0,148.0,112.0,113.0,68.0,20.0,18.0,25.0,17.0,43.0,107.0,158.0,78.0,65.0,26.0,37.0,1184.0,17,031,010202,1,170310102021
65.0,82.0,105.0,89.0,53.0,20.0,82.0,33.0,32.0,61.0,47.0,160.0,81.0,21.0,23.0,24.0,978.0,17,031,010202,2,170310102022
47.0,10.0,23.0,18.0,32.0,10.0,129.0,30.0,20.0,234.0,102.0,117.0,48.0,41.0,32.0,24.0,917.0,17,031,010300,1,170310103001
271.0,32.0,85.0,103.0,30.0,35.0,232.0,36.0,74.0,104.0,179.0,123.0,114.0,116.0,37.0,83.0,1654.0,17,031,010300,2,170310103002
115.0,102.0,142.0,85.0,35.0,51.0,14.0,69.0,12.0,47.0,78.0,99.0,34.0,36.0,43.0,38.0,1000.0,17,031,010300,3,170310103003
161.0,61.0,83.0,41.0,28.0,89.0,97.0,76.0,97.0,48.0,166.0,263.0,90.0,163.0,93.0,112.0,1668.0,17,031,010300,4,170310103004
86.0,60.0,126.0,119.0,138.0,24.0,140.0,108.0,84.0,49.0,122.0,192.0,148.0,71.0,109.0,87.0,1663.0,17,031,010400,1,170310104001
81.0,18.0,48.0,60.0,12.0,36.0,63.0,6.0,44.0,136.0,106.0,107.0,46.0,21.0,20.0,17.0,821.0,17,031,010400,2,170310104002
143.0,75.0,28.0,68.0,48.0,25.0,52.0,13.0,24.0,54.0,32.0,98.0,55.0,36.0,57.0,49.0,857.0,17,031,010400,3,170310104003
101.0,136.0,44.0,96.0,56.0,12.0,69.0,32.0,59.0,46.0,107.0,106.0,42.0,74.0,79.0,32.0,1091.0,17,031,010501,1,170310105011
214.0,128.0,59.0,129.0,77.0,46.0,118.0,119.0,27.0,127.0,202.0,170.0,80.0,39.0,43.0,56.0,1634.0,17,031,010501,2,170310105012
225.0,83.0,88.0,72.0,56.0,63.0,53.0,30.0,47.0,62.0,57.0,81.0,57.0,52.0,28.0,33.0,1087.0,17,031,010501,3,170310105013
127.0,86.0,88.0,67.0,95.0,61.0,21.0,59.0,43.0,171.0,50.0,81.0,107.0,84.0,36.0,36.0,1212.0,17,031,010502,1,170310105021
354.0,80.0,191.0,139.0,106.0,168.0,149.0,148.0,113.0,122.0,205.0,161.0,135.0,142.0,134.0,98.0,2445.0,17,031,010502,2,170310105022
311.0,163.0,91.0,70.0,39.0,35.0,41.0,90.0,25.0,70.0,142.0,106.0,102.0,104.0,61.0,72.0,1522.0,17,031,010503,1,170310105031
76.0,22.0,34.0,55.0,32.0,35.0,7.0,40.0,8.0,63.0,33.0,117.0,24.0,14.0,15.0,23.0,598.0,17,031,010503,2,170310105032
236.0,78.0,186.0,170.0,282.0,168.0,93.0,165.0,107.0,285.0,210.0,249.0,229.0,106.0,148.0,78.0,2790.0,17,031,010600,1,170310106001
18.0,12.0,30.0,45.0,19.0,10.0,11.0,10.0,8.0,20.0,175.0,58.0,48.0,43.0,48.0,122.0,677.0,17,031,010600,2,170310106002
87.0,85.0,73.0,37.0,183.0,42.0,44.0,36.0,59.0,154.0,196.0,119.0,42.0,88.0,101.0,46.0,1392.0,17,031,010600,3,170310106003
85.0,110.0,131.0,141.0,90.0,86.0,127.0,74.0,50.0,99.0,109.0,138.0,104.0,48.0,54.0,72.0,1518.0,17,031,010600,4,170310106004
62.0,108.0,183.0,143.0,100.0,117.0,91.0,35.0,57.0,243.0,185.0,279.0,77.0,173.0,121.0,81.0,2055.0,17,031,010701,1,170310107011
109.0,95.0,45.0,58.0,123.0,125.0,57.0,78.0,60.0,218.0,296.0,225.0,101.0,118.0,65.0,104.0,1877.0,17,031,010701,2,170310107012
136.0,55.0,24.0,155.0,44.0,52.0,127.0,23.0,79.0,53.0,98.0,161.0,129.0,158.0,66.0,70.0,1430.0,17,031,010702,1,170310107021
156.0,31.0,271.0,108.0,29.0,115.0,23.0,29.0,16.0,68.0,103.0,168.0,114.0,119.0,41.0,35.0,1426.0,17,031,010702,2,170310107022
124.0,22.0,118.0,35.0,74.0,37.0,76.0,46.0,68.0,85.0,127.0,142.0,90.0,81.0,66.0,27.0,1218.0,17,031,010702,3,170310107023
170.0,123.0,160.0,32.0,19.0,15.0,51.0,95.0,18.0,111.0,49.0,84.0,49.0,21.0,33.0,40.0,1070.0,17,031,010702,4,170310107024
304.0,56.0,70.0,50.0,54.0,92.0,140.0,86.0,111.0,342.0,199.0,438.0,188.0,137.0,155.0,137.0,2559.0,17,031,020100,1,170310201001
115.0,121.0,200.0,42.0,21.0,106.0,91.0,70.0,36.0,74.0,131.0,153.0,83.0,32.0,62.0,71.0,1408.0,17,031,020100,2,170310201002
35.0,47.0,23.0,122.0,24.0,59.0,44.0,24.0,44.0,38.0,97.0,227.0,129.0,136.0,245.0,80.0,1374.0,17,031,020200,1,170310202001
134.0,25.0,78.0,29.0,63.0,77.0,20.0,21.0,22.0,154.0,128.0,214.0,40.0,127.0,188.0,70.0,1390.0,17,031,020200,2,170310202002
103.0,82.0,77.0,120.0,57.0,29.0,59.0,22.0,103.0,57.0,63.0,178.0,305.0,107.0,228.0,54.0,1644.0,17,031,020200,3,170310202003
124.0,48.0,94.0,107.0,26.0,55.0,29.0,24.0,69.0,180.0,215.0,232.0,243.0,79.0,110.0,77.0,1712.0,17,031,020200,4,170310202004
247.0,87.0,80.0,30.0,44.0,37.0,52.0,91.0,158.0,94.0,160.0,179.0,156.0,71.0,77.0,71.0,1634.0,17,031,020301,1,170310203011
121.0,46.0,28.0,29.0,40.0,101.0,66.0,98.0,118.0,98.0,153.0,158.0,136.0,45.0,66.0,32.0,1335.0,17,031,020301,2,170310203012
48.0,62.0,58.0,85.0,83.0,148.0,105.0,113.0,213.0,141.0,147.0,372.0,145.0,68.0,155.0,331.0,2274.0,17,031,020301,3,170310203013
22.0,37.0,78.0,12.0,35.0,96.0,51.0,86.0,33.0,72.0,47.0,100.0,116.0,29.0,27.0,23.0,864.0,17,031,020302,1,170310203021
50.0,19.0,47.0,30.0,22.0,33.0,21.0,32.0,149.0,41.0,108.0,85.0,245.0,59.0,116.0,73.0,1130.0,17,031,020302,2,170310203022
110.0,61.0,224.0,145.0,60.0,87.0,43.0,145.0,69.0,207.0,231.0,243.0,267.0,128.0,120.0,157.0,2297.0,17,031,020302,3,170310203023
47.0,32.0,33.0,25.0,14.0,14.0,61.0,31.0,36.0,30.0,66.0,99.0,105.0,32.0,39.0,38.0,702.0,17,031,020400,1,170310204001
58.0,93.0,52.0,127.0,55.0,61.0,69.0,54.0,73.0,74.0,125.0,252.0,202.0,123.0,214.0,66.0,1698.0,17,031,020400,2,170310204002
146.0,107.0,46.0,74.0,170.0,130.0,83.0,71.0,105.0,128.0,107.0,198.0,130.0,179.0,67.0,69.0,1810.0,17,031,020400,3,170310204003
221.0,193.0,101.0,347.0,71.0,60.0,196.0,157.0,32.0,274.0,185.0,223.0,169.0,88.0,58.0,73.0,2448.0,17,031,020500,1,170310205001
10.0,9.0,7.0,39.0,32.0,23.0,12.0,152.0,62.0,35.0,46.0,77.0,30.0,18.0,15.0,8.0,575.0,17,031,020500,2,170310205002
291.0,89.0,71.0,22.0,70.0,132.0,114.0,40.0,50.0,24.0,103.0,91.0,78.0,33.0,89.0,42.0,1339.0,17,031,020500,3,170310205003
187.0,16.0,59.0,71.0,70.0,69.0,115.0,133.0,95.0,90.0,99.0,121.0,69.0,72.0,23.0,48.0,1337.0,17,031,020500,4,170310205004
104.0,82.0,98.0,32.0,66.0,296.0,136.0,184.0,41.0,149.0,141.0,199.0,192.0,185.0,110.0,164.0,2179.0,17,031,020601,1,170310206011
352.0,148.0,208.0,71.0,140.0,177.0,235.0,74.0,38.0,374.0,426.0,334.0,114.0,161.0,115.0,160.0,3127.0,17,031,020601,2,170310206012
96.0,61.0,27.0,21.0,68.0,129.0,86.0,21.0,122.0,77.0,151.0,105.0,105.0,123.0,117.0,75.0,1384.0,17,031,020601,3,170310206013
80.0,42.0,45.0,54.0,39.0,23.0,50.0,33.0,75.0,136.0,122.0,139.0,53.0,16.0,27.0,14.0,948.0,17,031,020602,1,170310206021
57.0,45.0,139.0,58.0,19.0,76.0,26.0,42.0,217.0,44.0,83.0,124.0,53.0,24.0,21.0,32.0,1060.0,17,031,020602,2,170310206022
31.0,116.0,106.0,45.0,17.0,46.0,52.0,43.0,100.0,29.0,44.0,43.0,87.0,37.0,73.0,53.0,922.0,17,031,020602,3,170310206023
55.0,22.0,102.0,137.0,97.0,34.0,30.0,79.0,50.0,101.0,151.0,52.0,73.0,37.0,51.0,31.0,1102.0,17,031,020602,4,170310206024
42.0,12.0,23.0,27.0,17.0,46.0,33.0,29.0,48.0,31.0,97.0,129.0,60.0,100.0,95.0,26.0,815.0,17,031,020701,1,170310207011
85.0,13.0,31.0,23.0,122.0,44.0,28.0,27.0,16.0,68.0,214.0,182.0,36.0,54.0,48.0,111.0,1102.0,17,031,020701,2,170310207012
267.0,38.0,90.0,73.0,119.0,91.0,82.0,73.0,131.0,189.0,282.0,441.0,338.0,90.0,65.0,78.0,2447.0,17,031,020702,1,170310207021
210.0,234.0,285.0,177.0,51.0,151.0,77.0,342.0,116.0,243.0,508.0,174.0,178.0,76.0,73.0,72.0,2967.0,17,031,020702,2,170310207022
197.0,141.0,87.0,26.0,41.0,87.0,108.0,140.0,43.0,179.0,123.0,295.0,151.0,46.0,87.0,66.0,1817.0,17,031,020702,3,170310207023
59.0,42.0,65.0,77.0,106.0,27.0,58.0,13.0,9.0,63.0,29.0,146.0,103.0,84.0,28.0,30.0,939.0,17,031,020702,4,170310207024
41.0,21.0,173.0,29.0,64.0,118.0,52.0,49.0,23.0,170.0,162.0,255.0,127.0,76.0,61.0,39.0,1460.0,17,031,020801,1,170310208011
81.0,8.0,34.0,23.0,9.0,18.0,9.0,18.0,43.0,48.0,39.0,107.0,156.0,153.0,121.0,36.0,903.0,17,031,020801,2,170310208012
24.0,16.0,61.0,31.0,108.0,40.0,20.0,49.0,14.0,134.0,100.0,94.0,51.0,21.0,19.0,12.0,794.0,17,031,020801,3,170310208013
73.0,36.0,85.0,170.0,44.0,36.0,222.0,26.0,83.0,49.0,150.0,124.0,105.0,51.0,28.0,35.0,1317.0,17,031,020801,4,170310208014
76.0,165.0,23.0,26.0,23.0,30.0,28.0,24.0,17.0,47.0,420.0,160.0,62.0,145.0,84.0,200.0,1530.0,17,031,020802,1,170310208021
281.0,57.0,130.0,99.0,64.0,135.0,74.0,137.0,77.0,364.0,71.0,263.0,325.0,67.0,61.0,58.0,2263.0,17,031,020802,2,170310208022
150.0,136.0,135.0,66.0,131.0,41.0,138.0,72.0,37.0,173.0,306.0,346.0,229.0,171.0,125.0,124.0,2380.0,17,031,020802,3,170310208023
154.0,84.0,303.0,179.0,83.0,38.0,119.0,92.0,23.0,170.0,133.0,192.0,56.0,70.0,45.0,54.0,1795.0,17,031,020802,4,170310208024
147.0,73.0,173.0,109.0,115.0,179.0,179.0,145.0,213.0,198.0,195.0,124.0,105.0,81.0,120.0,72.0,2228.0,17,031,020901,1,170310209011
9.0,29.0,43.0,38.0,123.0,71.0,31.0,42.0,8.0,47.0,62.0,83.0,39.0,11.0,17.0,17.0,670.0,17,031,020901,2,170310209012
129.0,57.0,261.0,74.0,207.0,93.0,129.0,164.0,103.0,144.0,104.0,169.0,174.0,51.0,60.0,109.0,2028.0,17,031,020901,3,170310209013
99.0,130.0,249.0,103.0,64.0,138.0,65.0,123.0,63.0,180.0,183.0,192.0,85.0,45.0,66.0,55.0,1840.0,17,031,020902,1,170310209021
146.0,103.0,75.0,179.0,41.0,85.0,205.0,81.0,44.0,163.0,149.0,311.0,103.0,118.0,72.0,59.0,1934.0,17,031,020902,2,170310209022
193.0,33.0,32.0,32.0,128.0,46.0,85.0,31.0,19.0,38.0,105.0,55.0,94.0,28.0,29.0,22.0,970.0,17,031,030101,1,170310301011
35.0,45.0,19.0,5.0,31.0,1.0,28.0,33.0,1.0,14.0,31.0,28.0,6.0,6.0,8.0,11.0,302.0,17,031,030101,2,170310301012
196.0,120.0,63.0,47.0,68.0,13.0,42.0,59.0,96.0,117.0,46.0,111.0,54.0,25.0,23.0,26.0,1106.0,17,031,030101,3,170310301013
49.0,18.0,41.0,19.0,54.0,44.0,84.0,32.0,23.0,91.0,250.0,225.0,79.0,65.0,99.0,93.0,1266.0,17,031,030101,4,170310301014
74.0,29.0,17.0,17.0,70.0,110.0,40.0,52.0,43.0,46.0,127.0,145.0,61.0,47.0,48.0,53.0,979.0,17,031,030102,1,170310301021
150.0,24.0,69.0,68.0,70.0,20.0,51.0,74.0,19.0,45.0,56.0,65.0,49.0,29.0,22.0,55.0,866.0,17,031,030102,2,170310301022
