B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_001E,state,county,tract,block group,GEOID
105.0,57.0,34.0,50.0,4.0,7.0,9.0,6.0,1.0,36.0,30.0,18.0,32.0,22.0,10.0,20.0,441.0,17,031,010100,1,170310101001
309.0,153.0,86.0,226.0,38.0,74.0,41.0,57.0,41.0,37.0,101.0,46.0,147.0,37.0,63.0,34.0,1490.0,17,031,010100,2,170310101002
117.0,92.0,94.0,94.0,157.0,279.0,55.0,64.0,55.0,100.0,251.0,295.0,269.0,74.0,54.0,49.0,2099.0,17,031,010100,3,170310101003
119.0,143.0,211.0,107.0,55.0,27.0,82.0,98.0,70.0,38.0,162.0,135.0,136.0,99.0,63.0,89.0,1634.0,17,031,010201,1,170310102011
345.0,297.0,181.0,441.0,210.0,272.0,312.0,262.0,159.0,388.0,452.0,444.0,228.0,86.0,194.0,192.0,4463.0,17,031,010201,2,170310102012
84.0,49.0,50.0,71.0,8.0,11.0,11.0,45.0,9.0,72.0,79.0,130.0,45.0,12.0,60.0,59.0,795.0,17,031,010201,3,170310102013
164.0,158.0,90.0,110.0,82.0,15.0,19.0,25.0,18.0,39.0,112.0,160.0,90.0,55.0,35.0,32.0,1204.0,17,031,010202,1,170310102021
54.0,75.0,129.0,86.0,51.0,25.0,73.0,42.0,42.0,66.0,38.0,174.0,85.0,13.0,14.0,23.0,990.0,17,031,010202,2,170310102022
39.0,11.0,16.0,16.0,37.0,7.0,124.0,24.0,18.0,262.0,103.0,103.0,48.0,40.0,49.0,17.0,914.0,17,031,010300,1,170310103001
291.0,27.0,88.0,97.0,18.0,24.0,271.0,34.0,87.0,102.0,164.0,130.0,99.0,118.0,32.0,74.0,1656.0,17,031,010300,2,170310103002
113.0,126.0,153.0,109.0,45.0,39.0,18.0,59.0,8.0,46.0,89.0,78.0,37.0,33.0,32.0,23.0,1008.0,17,031,010300,3,170310103003
152.0,70.0,103.0,53.0,27.0,91.0,102.0,68.0,101.0,42.0,177.0,261.0,97.0,161.0,89.0,111.0,1705.0,17,031,010300,4,170310103004
100.0,52.0,118.0,130.0,155.0,32.0,127.0,99.0,95.0,37.0,105.0,182.0,110.0,79.0,120.0,83.0,1624.0,17,031,010400,1,170310104001
81.0,13.0,43.0,79.0,12.0,32.0,63.0,12.0,44.0,137.0,113.0,106.0,45.0,21.0,20.0,19.0,840.0,17,031,010400,2,170310104002
128.0,69.0,24.0,80.0,49.0,30.0,51.0,9.0,28.0,61.0,24.0,102.0,54.0,31.0,50.0,35.0,825.0,17,031,010400,3,170310104003
117.0,136.0,53.0,106.0,66.0,15.0,83.0,30.0,55.0,35.0,116.0,93.0,27.0,62.0,76.0,18.0,1088.0,17,031,010501,1,170310105011
202.0,138.0,58.0,139.0,90.0,47.0,126.0,111.0,24.0,132.0,211.0,149.0,92.0,35.0,36.0,55.0,1645.0,17,031,010501,2,170310105012
246.0,93.0,61.0,80.0,56.0,49.0,47.0,31.0,49.0,57.0,51.0,62.0,56.0,48.0,23.0,24.0,1033.0,17,031,010501,3,170310105013
145.0,82.0,94.0,63.0,94.0,53.0,22.0,47.0,48.0,177.0,51.0,67.0,107.0,95.0,19.0,26.0,1190.0,17,031,010502,1,170310105021
394.0,81.0,177.0,164.0,106.0,174.0,155.0,166.0,119.0,115.0,217.0,135.0,106.0,145.0,101.0,95.0,2450.0,17,031,010502,2,170310105022
359.0,190.0,88.0,78.0,35.0,41.0,32.0,72.0,14.0,67.0,120.0,80.0,99.0,114.0,54.0,70.0,1513.0,17,031,010503,1,170310105031
79.0,22.0,39.0,57.0,39.0,32.0,6.0,39.0,6.0,55.0,23.0,114.0,13.0,12.0,18.0,15.0,569.0,17,031,010503,2,170310105032
253.0,76.0,206.0,160.0,287.0,180.0,94.0,152.0,98.0,278.0,205.0,259.0,217.0,112.0,142.0,51.0,2770.0,17,031,010600,1,170310106001
11.0,9.0,30.0,48.0,28.0,12.0,8.0,11.0,11.0,17.0,179.0,49.0,47.0,48.0,69.0,127.0,704.0,17,031,010600,2,170310106002
108.0,83.0,78.0,36.0,207.0,46.0,44.0,34.0,65.0,138.0,215.0,113.0,47.0,93.0,84.0,51.0,1442.0,17,031,010600,3,170310106003
89.0,114.0,127.0,148.0,85.0,81.0,107.0,86.0,50.0,87.0,102.0,165.0,85.0,55.0,43.0,66.0,1490.0,17,031,010600,4,170310106004
51.0,99.0,210.0,162.0,95.0,135.0,82.0,46.0,55.0,248.0,193.0,292.0,66.0,173.0,114.0,78.0,2099.0,17,031,010701,1,170310107011
125.0,73.0,38.0,61.0,108.0,135.0,51.0,61.0,42.0,248.0,298.0,216.0,95.0,142.0,49.0,95.0,1837.0,17,031,010701,2,170310107012
144.0,62.0,23.0,173.0,37.0,47.0,162.0,23.0,71.0,55.0,117.0,188.0,113.0,155.0,65.0,58.0,1493.0,17,031,010702,1,170310107021
148.0,35.0,293.0,107.0,33.0,117.0,13.0,23.0,18.0,66.0,100.0,165.0,85.0,120.0,34.0,31.0,1388.0,17,031,010702,2,170310107022
125.0,20.0,130.0,33.0,80.0,25.0,69.0,55.0,75.0,98.0,126.0,130.0,85.0,77.0,76.0,25.0,1229.0,17,031,010702,3,170310107023
206.0,123.0,168.0,33.0,12.0,17.0,49.0,114.0,10.0,94.0,53.0,82.0,41.0,22.0,24.0,48.0,1096.0,17,031,010702,4,170310107024
289.0,51.0,78.0,26.0,65.0,88.0,182.0,92.0,108.0,365.0,211.0,438.0,168.0,142.0,158.0,131.0,2592.0,17,031,020100,1,170310201001
103.0,121.0,193.0,38.0,19.0,93.0,97.0,77.0,24.0,75.0,133.0,165.0,58.0,32.0,57.0,77.0,1362.0,17,031,020100,2,170310201002
22.0,56.0,22.0,116.0,22.0,60.0,40.0,20.0,39.0,26.0,87.0,238.0,133.0,139.0,251.0,87.0,1358.0,17,031,020200,1,170310202001
