B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_001E,state,county,tract,block group,GEOID
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,20.0,17,031,010100,1,170310101001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,34.0,17,031,010100,2,170310101002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,49.0,17,031,010100,3,170310101003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,89.0,17,031,010201,1,170310102011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.0,192.0,17,031,010201,2,170310102012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0,59.0,17,031,010201,3,170310102013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,32.0,17,031,010202,1,170310102021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,23.0,17,031,010202,2,170310102022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,17.0,17,031,010300,1,170310103001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,74.0,17,031,010300,2,170310103002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,23.0,17,031,010300,3,170310103003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.0,111.0,17,031,010300,4,170310103004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,83.0,17,031,010400,1,170310104001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,19.0,17,031,010400,2,170310104002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,35.0,17,031,010400,3,170310104003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,18.0,17,031,010501,1,170310105011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,55.0,17,031,010501,2,170310105012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,24.0,17,031,010501,3,170310105013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,26.0,17,031,010502,1,170310105021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,95.0,17,031,010502,2,170310105022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,70.0,17,031,010503,1,170310105031
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,17,031,010503,2,170310105032
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,51.0,17,031,010600,1,170310106001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0,127.0,17,031,010600,2,170310106002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,51.0,17,031,010600,3,170310106003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,66.0,17,031,010600,4,170310106004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,78.0,17,031,010701,1,170310107011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,95.0,17,031,010701,2,170310107012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,58.0,17,031,010702,1,170310107021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,31.0,17,031,010702,2,170310107022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,17,031,010702,3,170310107023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,48.0,17,031,010702,4,170310107024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.0,131.0,17,031,020100,1,170310201001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,77.0,17,031,020100,2,170310201002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,87.0,17,031,020200,1,170310202001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,74.0,17,031,020200,2,170310202002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,44.0,17,031,020200,3,170310202003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,72.0,17,031,020200,4,170310202004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,51.0,17,031,020301,1,170310203011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,44.0,17,031,020301,2,170310203012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.0,336.0,17,031,020301,3,170310203013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,23.0,17,031,020302,1,170310203021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,64.0,17,031,020302,2,170310203022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.0,191.0,17,031,020302,3,170310203023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,24.0,17,031,020400,1,170310204001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0,65.0,17,031,020400,2,170310204002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,85.0,17,031,020400,3,170310204003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,68.0,17,031,020500,1,170310205001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0,12.0,17,031,020500,2,170310205002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,30.0,17,031,020500,3,170310205003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,35.0,17,031,020500,4,170310205004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0,155.0,17,031,020601,1,170310206011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.0,153.0,17,031,020601,2,170310206012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,68.0,17,031,020601,3,170310206013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,22.0,17,031,020602,1,170310206021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,17,031,020602,2,170310206022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,53.0,17,031,020602,3,170310206023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,35.0,17,031,020602,4,170310206024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,19.0,17,031,020701,1,170310207011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.0,128.0,17,031,020701,2,170310207012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0,65.0,17,031,020702,1,170310207021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,71.0,17,031,020702,2,170310207022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.0,67.0,17,031,020702,3,170310207023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,18.0,17,031,020702,4,170310207024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.0,37.0,17,031,020801,1,170310208011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.0,41.0,17,031,020801,2,170310208012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,20.0,17,031,020801,3,170310208013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0,28.0,17,031,020801,4,170310208014
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.0,199.0,17,031,020802,1,170310208021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,49.0,17,031,020802,2,170310208022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0,99.0,17,031,020802,3,170310208023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,30.0,17,031,020802,4,170310208024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,17,031,020901,1,170310209011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,20.0,17,031,020901,2,170310209012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,88.0,17,031,020901,3,170310209013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0,46.0,17,031,020902,1,170310209021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,49.0,17,031,020902,2,170310209022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,17,031,030101,1,170310301011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,17,031,030101,2,170310301012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,17,031,030101,3,170310301013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.0,87.0,17,031,030101,4,170310301014
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,55.0,17,031,030102,1,170310301021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,40.0,17,031,030102,2,170310301022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,35.0,17,031,030102,3,170310301023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,17,031,030103,1,170310301031
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,26.0,17,031,030103,2,170310301032
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,30.0,17,031,030104,1,170310301041
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,16.0,17,031,030104,2,170310301042
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,44.0,17,031,030200,1,170310302001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.0,148.0,17,031,030200,2,170310302002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273.0,273.0,17,031,030200,3,170310302003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0,56.0,17,031,030200,4,170310302004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,57.0,17,031,030300,1,170310303001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,64.0,17,031,030300,2,170310303002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,47.0,17,031,030400,1,170310304001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,95.0,17,031,030400,2,170310304002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,53.0,17,031,030500,1,170310305001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,79.0,17,031,030500,2,170310305002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.0,123.0,17,031,030500,3,170310305003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,53.0,17,031,030500,4,170310305004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.0,65.0,17,031,030601,1,170310306011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,36.0,17,031,030601,2,170310306012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,35.0,17,031,030601,3,170310306013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.0,34.0,17,031,030603,1,170310306031
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,24.0,17,031,030603,2,170310306032
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,26.0,17,031,030604,1,170310306041
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,57.0,17,031,030604,2,170310306042
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,11.0,17,031,030604,3,170310306043
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,36.0,17,031,030701,1,170310307011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,70.0,17,031,030702,1,170310307021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,13.0,17,031,030702,2,170310307022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,82.0,17,031,030703,1,170310307031
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,21.0,17,031,030703,2,170310307032
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,57.0,17,031,030703,3,170310307033
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,71.0,17,031,030706,1,170310307061
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,36.0,17,031,030706,2,170310307062
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,51.0,17,031,030800,1,170310308001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,78.0,17,031,030800,2,170310308002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,76.0,17,031,030800,3,170310308003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.0,222.0,17,031,030800,4,170310308004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,19.0,17,031,030900,1,170310309001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,58.0,17,031,030900,2,170310309002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.0,44.0,17,031,030900,3,170310309003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,68.0,17,031,030900,4,170310309004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.0,148.0,17,031,031000,1,170310310001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,21.0,17,031,031000,2,170310310002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0,103.0,17,031,031000,3,170310310003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.0,165.0,17,031,031100,1,170310311001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,13.0,17,031,031100,2,170310311002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,85.0,17,031,031100,3,170310311003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,83.0,17,031,031200,1,170310312001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,42.0,17,031,031200,2,170310312002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,23.0,17,031,031200,3,170310312003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0,91.0,17,031,031200,4,170310312004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.0,39.0,17,031,031300,1,170310313001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.0,68.0,17,031,031300,2,170310313002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,19.0,17,031,031300,3,170310313003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,98.0,17,031,031300,4,170310313004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,89.0,17,031,031300,5,170310313005
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.0,82.0,17,031,031400,1,170310314001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.0,38.0,17,031,031400,2,170310314002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,58.0,17,031,031400,3,170310314003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.0,115.0,17,031,031400,5,170310314005
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,26.0,17,031,031400,6,170310314006
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,11.0,17,031,031501,1,170310315011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,48.0,17,031,031501,2,170310315012
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,36.0,17,031,031501,3,170310315013
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,40.0,17,031,031502,1,170310315021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,60.0,17,031,031502,2,170310315022
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.0,36.0,17,031,031502,3,170310315023
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.0,117.0,17,031,031700,1,170310317001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0,113.0,17,031,031700,2,170310317002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0,47.0,17,031,031700,3,170310317003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.0,146.0,17,031,031700,4,170310317004
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,84.0,17,031,031800,1,170310318001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0,118.0,17,031,031900,1,170310319001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,79.0,17,031,031900,2,170310319002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0,107.0,17,031,032100,1,170310321001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,33.0,17,031,032100,2,170310321002
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0,118.0,17,031,032100,3,170310321003
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,22.0,17,031,032100,4,170310321004
