B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_001E,state,county,tract,block group,GEOID
127.0,48.0,22.0,61.0,7.0,3.0,3.0,2.0,2.0,19.0,0.0,0.0,34.0,35.0,31.0,50.0,444.0,17,031,010100,1,170310101001
362.0,192.0,102.0,271.0,21.0,57.0,37.0,50.0,31.0,0.0,70.0,12.0,141.0,9.0,74.0,54.0,1483.0,17,031,010100,2,170310101002
92.0,79.0,48.0,77.0,163.0,355.0,25.0,51.0,18.0,83.0,271.0,294.0,344.0,83.0,59.0,49.0,2091.0,17,031,010100,3,170310101003
108.0,162.0,222.0,110.0,26.0,0.0,85.0,105.0,63.0,4.0,178.0,103.0,131.0,111.0,102.0,129.0,1639.0,17,031,010201,1,170310102011
343.0,340.0,166.0,517.0,197.0,283.0,375.0,279.0,142.0,443.0,442.0,358.0,180.0,34.0,152.0,202.0,4453.0,17,031,010201,2,170310102012
94.0,31.0,35.0,58.0,5.0,3.0,0.0,53.0,2.0,42.0,74.0,134.0,39.0,14.0,92.0,100.0,776.0,17,031,010201,3,170310102013
168.0,178.0,112.0,139.0,55.0,3.0,0.0,4.0,4.0,14.0,95.0,135.0,97.0,68.0,20.0,35.0,1127.0,17,031,010202,1,170310102021
39.0,108.0,127.0,91.0,44.0,0.0,88.0,30.0,33.0,51.0,6.0,182.0,83.0,21.0,12.0,62.0,977.0,17,031,010202,2,170310102022
3.0,1.0,3.0,2.0,20.0,8.0,155.0,9.0,5.0,307.0,91.0,108.0,31.0,60.0,69.0,44.0,916.0,17,031,010300,1,170310103001
359.0,8.0,75.0,105.0,3.0,2.0,333.0,10.0,89.0,90.0,161.0,76.0,85.0,139.0,28.0,134.0,1697.0,17,031,010300,2,170310103002
113.0,162.0,184.0,117.0,29.0,22.0,8.0,70.0,3.0,23.0,55.0,61.0,10.0,24.0,61.0,49.0,991.0,17,031,010300,3,170310103003
170.0,42.0,85.0,27.0,4.0,85.0,101.0,64.0,101.0,0.0,144.0,273.0,75.0,202.0,106.0,175.0,1654.0,17,031,010300,4,170310103004
71.0,34.0,136.0,146.0,174.0,2.0,161.0,105.0,99.0,1.0,70.0,170.0,133.0,75.0,135.0,117.0,1629.0,17,031,010400,1,170310104001
86.0,4.0,37.0,56.0,0.0,22.0,62.0,4.0,36.0,173.0,110.0,104.0,38.0,12.0,37.0,50.0,831.0,17,031,010400,2,170310104002
162.0,64.0,6.0,84.0,40.0,12.0,56.0,0.0,4.0,55.0,6.0,99.0,58.0,37.0,88.0,84.0,855.0,17,031,010400,3,170310104003
121.0,150.0,33.0,123.0,60.0,1.0,85.0,26.0,53.0,3.0,93.0,60.0,31.0,67.0,110.0,60.0,1076.0,17,031,010501,1,170310105011
224.0,156.0,35.0,157.0,85.0,23.0,136.0,124.0,5.0,135.0,222.0,123.0,57.0,13.0,35.0,72.0,1602.0,17,031,010501,2,170310105012
331.0,94.0,85.0,75.0,44.0,43.0,45.0,7.0,39.0,49.0,2.0,26.0,69.0,63.0,39.0,52.0,1063.0,17,031,010501,3,170310105013
153.0,88.0,93.0,64.0,106.0,36.0,2.0,58.0,37.0,221.0,16.0,9.0,117.0,109.0,44.0,40.0,1193.0,17,031,010502,1,170310105021
474.0,47.0,226.0,163.0,98.0,194.0,165.0,190.0,119.0,62.0,168.0,61.0,68.0,144.0,108.0,88.0,2375.0,17,031,010502,2,170310105022
