B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_001E,state,county,tract,block group,GEOID
135.0,63.0,34.0,52.0,2.0,2.0,1.0,3.0,1.0,25.0,0.0,4.0,29.0,32.0,59.0,15.0,457.0,17,031,010100,1,170310101001
366.0,183.0,91.0,270.0,24.0,61.0,32.0,48.0,32.0,2.0,56.0,6.0,147.0,4.0,80.0745128462799,5.0,1407.07451284628,17,031,010100,2,170310101002
100.0,68.0,59.0,79.0,157.0,357.0,21.0,61.0,23.0,74.0,285.0,294.0,346.0,65.0,90.87237297911265,6.0,2085.8723729791127,17,031,010100,3,170310101003
105.0,163.0,214.0,104.0,34.0,6.0,75.0,108.0,58.0,0.0,177.0,101.0,134.0,125.0,93.99299461096709,11.0,1508.9929946109671,17,031,010201,1,170310102011
359.0,342.0,182.0,516.0,199.0,278.0,374.0,274.0,145.0,447.0,440.0,347.0,169.0,17.0,149.4079736811378,6.0,4244.407973681138,17,031,010201,2,170310102012
97.0,27.0,44.0,59.0,5.0,3.0,1.0,55.0,0.0,38.0,64.0,138.0,42.0,11.0,99.79085474379983,13.0,696.7908547437999,17,031,010201,3,170310102013
170.0,174.0,115.0,140.0,66.0,0.0,0.0,0.0,3.0,2.0,102.0,136.0,87.0,67.0,71.0,5.0,1138.0,17,031,010202,1,170310102021
39.0,104.0,122.0,87.0,31.0,4.0,81.0,30.0,37.0,55.0,3.0,187.0,81.0,7.0,57.0,4.0,929.0,17,031,010202,2,170310102022
3.0,7.0,8.0,0.0,5.0,1.0,161.0,7.0,6.0,319.0,104.0,114.0,47.0,48.0,91.27665271344715,15.0,936.2766527134471,17,031,010300,1,170310103001
351.0,4.0,82.0,107.0,0.0,4.0,339.0,2.0,92.0,83.0,169.0,78.0,94.0,131.0,74.0,11.0,1621.0,17,031,010300,2,170310103002
113.0,161.0,184.0,133.0,25.0,14.0,3.0,64.0,1.0,28.0,55.0,68.0,1.0,28.0,83.56031081592721,14.0,975.5603108159272,17,031,010300,3,170310103003
165.0,54.0,84.0,33.0,1.0,77.0,108.0,60.0,114.0,5.0,156.0,276.0,70.0,201.0,101.50719664131977,12.0,1517.5071966413198,17,031,010300,4,170310103004
57.0,25.0,138.0,128.0,168.0,2.0,168.0,103.0,87.0,1.0,69.0,168.0,116.0,78.0,144.42567840600697,16.0,1468.425678406007,17,031,010400,1,170310104001
80.0,4.0,42.0,62.0,5.0,29.0,67.0,4.0,46.0,168.0,115.0,105.0,46.0,16.0,74.0,1.0,864.0,17,031,010400,2,170310104002
163.0,62.0,5.0,84.0,36.0,12.0,54.0,1.0,13.0,56.0,1.0,97.0,59.0,40.0,109.21283920300348,12.0,804.2128392030035,17,031,010400,3,170310104003
110.0,140.0,41.0,111.0,51.0,1.0,79.0,21.0,55.0,8.0,83.0,68.0,25.0,63.0,113.81925880450521,2.0,971.8192588045051,17,031,010501,1,170310105011
231.0,153.0,33.0,155.0,86.0,33.0,133.0,120.0,0.0,133.0,226.0,130.0,65.0,20.0,73.0,13.0,1604.0,17,031,010501,2,170310105012
325.0,96.0,82.0,80.0,52.0,48.0,29.0,0.0,38.0,37.0,6.0,15.0,72.0,68.0,58.0,14.0,1020.0,17,031,010501,3,170310105013
152.0,82.0,104.0,70.0,102.0,31.0,0.0,52.0,32.0,219.0,7.0,26.0,126.0,101.0,64.0,13.0,1181.0,17,031,010502,1,170310105021
475.0,57.0,228.0,144.0,89.0,200.0,161.0,184.0,116.0,69.0,163.0,55.0,60.0,166.0,105.81925880450521,12.0,2284.8192588045054,17,031,010502,2,170310105022
467.0,227.0,69.0,61.0,1.0,5.0,23.0,91.0,2.0,52.0,91.0,30.0,99.0,141.0,70.76245068309446,9.0,1438.7624506830944,17,031,010503,1,170310105031
78.0,8.0,41.0,68.0,27.0,31.0,0.0,46.0,1.0,62.0,5.0,133.0,20.0,19.0,69.0,11.0,619.0,17,031,010503,2,170310105032
235.0,43.0,233.0,147.0,344.0,164.0,66.0,155.0,93.0,298.0,150.0,189.0,229.0,107.0,137.517895977156,4.0,2594.517895977156,17,031,010600,1,170310106001
1.0,4.0,12.0,39.0,17.0,1.0,5.0,6.0,5.0,4.0,231.0,31.0,46.0,60.0,116.0391033965416,9.0,587.0391033965416,17,031,010600,2,170310106002
94.0,72.0,61.0,12.0,240.0,23.0,21.0,14.0,53.0,155.0,241.0,87.0,15.0,110.0,133.37956962043242,8.0,1339.3795696204324,17,031,010600,3,170310106003
68.0,133.0,145.0,170.0,98.0,85.0,119.0,85.0,40.0,70.0,80.0,133.0,90.0,56.0,70.13832635672358,4.0,1446.1383263567236,17,031,010600,4,170310106004
1.0,86.0,220.0,182.0,97.0,140.0,79.0,17.0,35.0,282.0,158.0,303.0,9.0,210.0,142.1136162428215,17.0,1978.1136162428215,17,031,010701,1,170310107011
99.0,69.0,6.0,44.0,107.0,126.0,17.0,60.0,27.0,278.0,329.0,206.0,90.0,158.0,82.2943574383163,5.0,1703.2943574383162,17,031,010701,2,170310107012
159.0,53.0,1.0,209.0,10.0,13.0,203.0,1.0,78.0,11.0,84.0,166.0,126.0,216.0,67.23054392787262,12.0,1409.2305439278725,17,031,010702,1,170310107021
175.0,5.0,373.0,130.0,0.0,141.0,0.0,1.0,0.0,51.0,81.0,157.0,87.0,145.0,61.0,17.0,1424.0,17,031,010702,2,170310107022
104.0,4.0,140.0,0.0,72.0,12.0,74.0,41.0,69.0,89.0,108.0,121.0,67.0,89.0,89.68093244778163,0.0,1079.6809324477817,17,031,010702,3,170310107023
229.0,139.0,221.0,29.0,1.0,2.0,42.0,142.0,1.0,104.0,7.0,48.0,29.0,13.0,91.0,9.0,1107.0,17,031,010702,4,170310107024
350.0,0.0,42.0,2.0,16.0,69.0,174.0,70.0,100.0,437.0,161.0,477.0,142.0,144.0,145.12431557865773,18.0,2347.124315578658,17,031,020100,1,170310201001
84.0,123.0,245.0,17.0,2.0,103.0,90.0,73.0,18.0,60.0,102.0,142.0,66.0,34.0,84.27665271344715,8.0,1251.2766527134472,17,031,020100,2,170310201002
2.0,28.0,0.0,135.0,0.0,64.0,13.0,1.0,27.0,9.0,58.0,259.0,124.0,175.0,262.2132217075772,9.0,1166.213221707577,17,031,020200,1,170310202001
127.0,1.0,63.0,4.0,34.0,88.0,4.0,6.0,0.0,177.0,116.0,208.0,4.0,177.0,204.42937235281028,23.0,1236.4293723528103,17,031,020200,2,170310202002
98.0,73.0,71.0,122.0,32.0,2.0,40.0,1.0,117.0,6.0,0.0,192.0,453.0,156.0,235.57839804537005,4.0,1602.57839804537,17,031,020200,3,170310202003
127.0,19.0,88.0,109.0,2.0,25.0,0.0,2.0,46.0,208.0,208.0,266.0,294.0,93.0,137.67392705874872,9.0,1633.6739270587486,17,031,020200,4,170310202004
325.0,67.0,60.0,0.0,39.0,25.0,31.0,104.0,185.0,61.0,143.0,132.0,157.0,93.0,101.32276149902167,10.0,1533.3227614990217,17,031,020301,1,170310203011
138.0,20.0,3.0,2.0,12.0,139.0,46.0,93.0,116.0,72.0,165.0,150.0,163.0,33.0,98.41497907017072,13.0,1263.4149790701708,17,031,020301,2,170310203012
1.0,30.0,18.0,57.0,66.0,157.0,81.0,114.0,282.0,121.0,115.0,400.0,114.0,37.0,145.87606692591595,14.0,1752.876066925916,17,031,020301,3,170310203013
1.0,20.0,98.0,4.0,26.0,121.0,52.0,114.0,30.0,72.0,1.0,81.0,166.0,25.0,59.0,15.0,885.0,17,031,020302,1,170310203021
32.0,2.0,36.0,17.0,0.0,11.0,4.0,16.0,204.0,8.0,79.0,41.0,344.0,64.0,146.87606692591595,9.0,1013.876066925916,17,031,020302,2,170310203022
54.0,17.0,304.0,135.0,33.0,57.0,9.0,177.0,45.0,192.0,246.0,201.0,287.0,107.0,117.69163178361786,19.0,2000.6916317836178,17,031,020302,3,170310203023
30.0,16.0,19.0,11.0,1.0,0.0,60.0,26.0,23.0,13.0,50.0,107.0,143.0,31.0,93.34046622389081,7.0,630.3404662238909,17,031,020400,1,170310204001
8.0,78.0,18.0,147.0,38.0,20.0,46.0,23.0,64.0,28.0,80.0,265.0,259.0,171.0,209.30174533192292,9.0,1463.301745331923,17,031,020400,2,170310204002
150.0,97.0,5.0,59.0,217.0,136.0,88.0,55.0,122.0,130.0,75.0,197.0,106.0,244.0,100.83696352937436,14.0,1795.8369635293743,17,031,020400,3,170310204003
255.0,245.0,48.0,472.0,32.0,31.0,232.0,176.0,1.0,307.0,172.0,177.0,152.0,63.0,72.0,11.0,2446.0,17,031,020500,1,170310205001
0.0,1.0,1.0,28.0,26.0,7.0,13.0,201.0,89.0,18.0,23.0,70.0,20.0,16.0,52.0,16.0,581.0,17,031,020500,2,170310205002
418.0,98.0,61.0,0.0,57.0,167.0,169.0,37.0,27.0,1.0,52.0,33.0,49.0,18.0,114.5533054268943,18.0,1319.5533054268942,17,031,020500,3,170310205003
233.0,1.0,24.0,75.0,50.0,65.0,124.0,154.0,126.0,64.0,73.0,79.0,55.0,97.0,75.0,16.0,1311.0,17,031,020500,4,170310205004
67.0,29.0,110.0,3.0,10.0,369.0,154.0,236.0,1.0,151.0,78.0,186.0,192.0,231.0,95.41497907017072,8.0,1920.4149790701708,17,031,020601,1,170310206011
458.0,140.0,214.0,38.0,125.0,199.0,286.0,16.0,4.0,406.0,502.0,302.0,14.0,143.0,91.54260609105806,7.0,2945.542606091058,17,031,020601,2,170310206012
115.0,43.0,0.0,1.0,55.0,162.0,84.0,7.0,126.0,56.0,157.0,58.0,112.0,150.0,152.09591151795235,4.0,1282.0959115179523,17,031,020601,3,170310206013
71.0,40.0,28.0,45.0,39.0,21.0,34.0,26.0,91.0,146.0,139.0,163.0,41.0,13.0,58.0,13.0,968.0,17,031,020602,1,170310206021
