B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_001E,state,county,tract,block group,GEOID
124.0,54.0,22.0,58.0,0.0,1.0,6.0,4.0,3.0,16.0,1.0,1.0,31.0,33.0,35.0,46.0,435.0,17,031,010100,1,170310101001
379.0,186.0,99.0,264.0,7.0,56.0,32.0,62.0,19.0,2.0,80.0,3.0,138.0,16.0,62.0,50.0,1455.0,17,031,010100,2,170310101002
94.0,77.0,68.0,78.0,161.0,368.0,13.0,58.0,30.0,85.0,282.0,289.0,328.0,74.0,46.0,45.0,2096.0,17,031,010100,3,170310101003
106.0,162.0,210.0,110.0,27.0,4.0,77.0,98.0,63.0,1.0,182.0,94.0,138.0,131.0,92.0,115.0,1610.0,17,031,010201,1,170310102011
349.0,343.0,186.0,507.0,203.0,277.0,380.0,273.0,146.0,450.0,436.0,353.0,185.0,31.0,152.0,193.0,4464.0,17,031,010201,2,170310102012
101.0,24.0,28.0,70.0,3.0,7.0,3.0,53.0,4.0,46.0,68.0,137.0,40.0,13.0,83.0,97.0,777.0,17,031,010201,3,170310102013
173.0,170.0,116.0,131.0,49.0,4.0,4.0,18.0,0.0,10.0,105.0,140.0,92.0,59.0,23.0,51.0,1145.0,17,031,010202,1,170310102021
35.0,105.0,115.0,102.0,24.0,1.0,84.0,30.0,43.0,48.0,3.0,180.0,88.0,29.0,27.0,61.0,975.0,17,031,010202,2,170310102022
7.0,7.0,2.0,0.0,8.0,4.0,156.0,4.0,2.0,307.0,83.0,103.0,40.0,48.0,79.0,55.0,905.0,17,031,010300,1,170310103001
366.0,0.0,87.0,113.0,5.0,3.0,334.0,1.0,84.0,77.0,165.0,82.0,95.0,126.0,28.0,116.0,1682.0,17,031,010300,2,170310103002
