B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19001_001E,state,county,tract,block group,GEOID
126.0,58.0,26.0,57.0,1.0,5.0,7.0,6.0,5.0,24.0,2.0,1.0,28.0,26.0,74.0,7.0,453.0,17,031,010100,1,170310101001
378.0,195.0,111.0,272.0,10.0,60.0,31.0,61.0,37.0,2.0,58.0,6.0,140.0,13.0,99.0745128462799,3.0,1476.07451284628,17,031,010100,2,170310101002
107.0,76.0,64.0,83.0,158.0,354.0,29.0,60.0,23.0,88.0,284.0,294.0,336.0,58.0,74.87237297911265,0.0,2088.8723729791127,17,031,010100,3,170310101003
100.0,164.0,215.0,108.0,36.0,8.0,77.0,96.0,72.0,0.0,180.0,102.0,133.0,120.0,98.99299461096709,5.0,1514.9929946109671,17,031,010201,1,170310102011
358.0,346.0,183.0,509.0,199.0,287.0,373.0,286.0,147.0,452.0,440.0,359.0,170.0,19.0,141.4079736811378,2.0,4271.407973681138,17,031,010201,2,170310102012
96.0,47.0,40.0,63.0,0.0,4.0,1.0,49.0,5.0,38.0,74.0,147.0,20.0,19.0,108.79085474379983,1.0,712.7908547437999,17,031,010201,3,170310102013
177.0,175.0,114.0,139.0,71.0,4.0,3.0,14.0,2.0,1.0,100.0,141.0,83.0,60.0,46.0,5.0,1135.0,17,031,010202,1,170310102021
32.0,96.0,129.0,96.0,44.0,5.0,86.0,41.0,30.0,48.0,2.0,177.0,76.0,4.0,79.0,6.0,951.0,17,031,010202,2,170310102022
1.0,2.0,4.0,4.0,4.0,3.0,167.0,10.0,0.0,306.0,98.0,100.0,37.0,51.0,81.27665271344715,13.0,881.2766527134471,17,031,010300,1,170310103001
362.0,4.0,77.0,109.0,2.0,0.0,331.0,22.0,91.0,86.0,170.0,76.0,96.0,129.0,72.0,14.0,1641.0,17,031,010300,2,170310103002
123.0,153.0,195.0,125.0,32.0,24.0,1.0,68.0,4.0,31.0,54.0,57.0,5.0,26.0,89.56031081592721,10.0,997.5603108159272,17,031,010300,3,170310103003
160.0,63.0,73.0,16.0,5.0,92.0,114.0,65.0,108.0,9.0,155.0,272.0,80.0,205.0,94.50719664131977,4.0,1515.5071966413198,17,031,010300,4,170310103004
86.0,25.0,139.0,136.0,175.0,8.0,171.0,108.0,92.0,2.0,70.0,169.0,109.0,68.0,122.42567840600695,11.0,1491.425678406007,17,031,010400,1,170310104001
73.0,1.0,40.0,76.0,9.0,35.0,61.0,7.0,41.0,177.0,111.0,106.0,32.0,20.0,84.0,0.0,873.0,17,031,010400,2,170310104002
148.0,54.0,10.0,74.0,44.0,6.0,53.0,1.0,21.0,47.0,5.0,115.0,59.0,38.0,102.21283920300348,15.0,792.2128392030035,17,031,010400,3,170310104003
118.0,149.0,38.0,109.0,63.0,4.0,80.0,27.0,42.0,0.0,88.0,63.0,37.0,76.0,110.81925880450521,9.0,1013.8192588045051,17,031,010501,1,170310105011
218.0,163.0,46.0,156.0,80.0,21.0,136.0,118.0,1.0,133.0,223.0,122.0,67.0,23.0,65.0,18.0,1590.0,17,031,010501,2,170310105012
328.0,87.0,66.0,86.0,33.0,48.0,30.0,8.0,39.0,28.0,15.0,12.0,63.0,55.0,75.0,18.0,991.0,17,031,010501,3,170310105013
174.0,87.0,108.0,56.0,99.0,38.0,3.0,51.0,41.0,217.0,8.0,14.0,108.0,134.0,59.0,15.0,1212.0,17,031,010502,1,170310105021
467.0,47.0,212.0,163.0,101.0,201.0,161.0,185.0,127.0,66.0,174.0,64.0,71.0,158.0,115.81925880450521,7.0,2319.8192588045054,17,031,010502,2,170310105022
