B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B01003_001E,B19001_001E,B25010_001E,state,county,tract,block group,GEOID
15,22,30,22,22,29,19,31,32,25,16,20,47,48,60,85,1008,523,3.42,17,31,691500,2,170316915002
22,22,32,21,19,30,14,21,26,27,17,25,49,47,55,75,643,502,2.65,17,31,691500,3,170316915003
22,15,21,16,20,28,21,25,28,29,22,30,46,47,61,84,1406,515,2.8,17,31,710100,1,170317101001
19,25,25,26,31,34,16,28,19,30,22,32,46,48,72,83,598,556,2.35,17,31,805402,5,170318054025
18,22,21,17,25,26,24,28,23,23,23,35,47,47,57,81,855,517,2.24,17,31,805402,1,170318054021
12,24,19,21,25,24,22,35,27,19,13,20,53,51,50,79,1701,494,2.94,17,31,805402,4,170318054024
14,23,18,17,14,27,28,21,14,27,29,25,42,52,53,88,904,492,2.61,17,31,805402,2,170318054022
19,24,17,29,18,21,20,22,34,28,21,31,38,44,64,77,732,507,2.66,17,31,805402,3,170318054023
23,24,20,19,21,26,16,29,24,17,14,32,38,44,59,91,582,497,2.78,17,31,806300,3,170318063003
18,17,22,31,14,26,34,22,28,22,25,29,47,52,55,67,776,509,2.16,17,31,806300,5,170318063005
24,23,18,30,30,24,24,35,17,27,11,35,43,52,53,80,900,526,3.54,17,31,806300,6,170318063006
25,19,27,19,23,20,19,30,28,19,25,29,45,37,62,82,598,509,2.42,17,31,806300,4,170318063004
18,26,31,30,26,24,10,30,26,21,25,20,45,47,60,83,1023,522,3.25,17,31,806300,1,170318063001
18,20,18,29,20,11,33,25,22,35,12,29,47,44,53,89,1695,505,3.32,17,31,807100,3,170318071003
8,23,9,33,17,27,22,21,30,28,20,34,47,38,58,87,1272,502,2.76,17,31,807100,2,170318071002
20,24,23,26,23,28,29,29,24,21,28,34,45,51,60,88,1737,553,2.93,17,31,808200,3,170318082003
23,22,27,23,25,22,27,27,24,15,16,29,34,47,71,73,2224,505,2.68,17,31,808200,1,170318082001
22,15,29,28,22,23,23,29,31,22,18,32,47,41,59,82,1021,523,2.04,17,31,420500,1,170314205001
10,20,27,26,26,26,24,26,27,21,15,21,50,44,53,87,926,503,2.97,17,31,430400,3,170314304003
29,19,23,24,22,24,13,25,27,24,17,33,47,48,61,81,1124,517,3.11,17,31,430400,4,170314304004
20,16,17,27,15,28,35,21,24,28,20,31,36,48,54,72,2169,492,2.61,17,31,823102,1,170318231021
17,18,16,22,36,20,35,26,31,16,24,32,51,46,53,74,1087,517,3.04,17,31,822101,4,170318221014
17,25,12,22,22,22,29,23,29,12,20,33,33,46,60,97,1199,502,2.91,17,31,822101,2,170318221012
21,20,13,17,19,22,14,28,22,22,14,29,51,55,70,81,1553,498,3.2,17,31,823102,2,170318231022
16,17,27,23,22,23,28,25,22,28,26,30,42,54,50,79,1236,512,3.68,17,31,823304,5,170318233045
22,16,25,18,23,30,32,29,18,18,20,32,49,55,53,86,1318,526,3.61,17,31,823304,6,170318233046
19,24,18,24,23,31,30,29,22,24,24,32,41,47,59,74,620,521,1.55,17,31,823304,3,170318233043
22,31,19,14,32,25,18,21,21,18,17,22,39,50,54,84,1428,487,2.74,17,31,823304,4,170318233044
